start,stop,time
2019-05-21 00:35:48,2019-05-21 02:01:02,0 days 01:25:14.000000000
2019-05-21 02:11:26,2019-05-21 03:23:19,0 days 01:11:53.000000000
2019-05-21 04:11:36,2019-05-21 04:30:52,0 days 00:19:16.000000000
2019-05-21 04:41:03,2019-05-21 05:55:35,0 days 01:14:32.000000000
2019-05-21 06:11:49,2019-05-21 06:14:00,0 days 00:02:11.000000000
2019-05-21 06:24:01,2019-05-21 07:05:21,0 days 00:41:20.000000000
2019-05-21 07:15:30,2019-05-21 07:41:45,0 days 00:26:15.000000000
2019-05-21 09:17:30,2019-05-21 15:10:58,0 days 05:53:28.000000000
2019-05-21 15:21:26,2019-05-21 19:54:51,0 days 04:33:25.000000000
2019-05-21 20:41:25,2019-05-22 01:17:02,0 days 04:35:37.000000000
